SaleFactors,External
1.0,0.0
0.0,0.0
0.86,0.0
0.88,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.17,0.0
0.8,0.0
0.0,0.0
0.8,0.0
0.8,0.0
0.0,0.0
1.17,0.0
1.17,0.0
0.0,0.0
1.17,0.0
0.0,0.0
1.0,0.0
1.68,0.0
0.9,0.0
0.8,0.0
1.0,0.61
0.8,0.0
0.8,0.0
0.9,0.0
0.8,0.0
0.93,0.0
1.0,0.0
0.8,0.0
0.8,0.0
0.0,0.0
0.8,0.06
1.0,0.0
0.8,0.0
0.8,0.51
1.0,0.04
0.88,0.0
0.8,0.06
1.0,0.0
0.0,0.0
0.9,0.0
1.0,0.38
0.0,0.0
1.0,0.0
0.81,0.0
1.0,0.0
1.0,0.03
0.8,0.0
